Timestamp,Output Angle [deg],Angular Velocity [dps],Gravity Torque [Nm],Friction Torque [Nm],Damping Torque [Nm],Target Torque [Nm],Applied Torque [Nm],Is Holding
1752828747.5876744,137.61799687190054,-30.474715642556216,0.49594729831030343,-0.003688152070202555,0.05318841265716254,0.5454475588972634,0.5377557779092395,False
1752828747.5986526,135.67338712138553,-29.84198204768682,0.5141035737213313,-0.0036878910675946707,0.05208408420531745,0.562499766859054,0.5550765701741096,False
1752828747.6097753,133.69581788357368,-29.190014582206643,0.5319601790891761,-0.0036876221310151603,0.050946186316466295,0.5792187432746273,0.571976091344472,False
1752828747.6211128,131.82811360341805,-28.52046598807865,0.548243273135947,-0.0036873459422200826,0.04977760356950303,0.5943335307632299,0.5876262989376025,False
1752828747.6328256,130.00984855420768,-27.83486238286386,0.5635358987351111,-0.0036870631307329314,0.048580999542048885,0.608429835146427,0.6021887742837797,False
1752828747.6446152,128.1311577782864,-27.132749373683293,0.5787404775900368,-0.003686773509116644,0.047355581168920274,0.6224092852498404,0.6163431319600222,False
1752828747.6558747,126.30190623331048,-26.41562068213259,0.5929472417785745,-0.00368647769353138,0.046103955486112416,0.6353647195711556,0.6296582432878156,False
1752828747.6671042,124.51660067139694,-25.685305285108985,0.6062300750086533,-0.0036861764384301075,0.04482931466050527,0.6473732132307286,0.6420587222478547,False
1752828747.6784053,122.8851060502022,-24.944968134206484,0.6178541804183059,-0.00368587104935536,0.04353718257469699,0.6577054919436475,0.6530114610349096,False
1752828747.6893337,121.37995613031205,-24.197325080942203,0.6281340625738564,-0.003685562646595889,0.04223229928378449,0.666680799211045,0.6625799977582043,False
1752828747.7005332,120.00664415960937,-23.445285920597854,0.6371355268599175,-0.003685252430442247,0.04091974333859024,0.6743700177680655,0.6708330117651071,False
1752828747.7120895,118.82559586480507,-22.691922413946266,0.6445842311948995,-0.003684941667995753,0.0396048759730462,0.68050416549995,0.6776028193794971,False
1752828747.7234056,117.86977073319599,-21.941136023002876,0.6504121137016854,-0.0036846319686094885,0.03829450652293345,0.6850219882560094,0.6827962375930556,False
1752828747.734844,117.15564850843062,-21.19797136261882,0.6546482311092374,-0.0036843254131870805,0.03699743950211672,0.6879613451981671,0.6864118129166337,False
1752828747.7464201,116.85901312275882,-20.468777389448956,0.6563779913617029,-0.0036840246206731476,0.03572475593036539,0.6884187226713951,0.6878166497449667,False
1752828747.7577608,116.80408064393073,-19.75739261401175,0.6566963880026315,-0.00368373117445328,0.03448315527237142,0.6874958121005497,0.6875920633938748,False
1752828747.7685404,116.90845235370413,-19.067094572252852,0.6560909185148903,-0.0036834464265110543,0.03327835790749521,0.6856858299958745,0.6862577000152745,False
1752828747.7799513,117.24354047455559,-18.401098676682754,0.654132337620686,-0.0036831717032041315,0.03211597578924856,0.6825651417067304,0.6836729091992937,False
1752828747.7911513,117.754412527657,-17.76150045922227,0.6511032694894506,-0.0036829078689394295,0.030999666310791343,0.6784200279313025,0.6799958923116999,False
1752828747.802031,118.41360227359428,-17.150681691443214,0.6471183418107395,-0.0036826559061977206,0.02993358644771943,0.6733692723522611,0.6753572583400927,False
1752828747.8133583,119.22660296025026,-16.570327235900066,0.642085688692543,-0.0036824165099848087,0.02892067683993473,0.6673239490224929,0.6697339418177729,False
1752828747.8241847,120.18242809185931,-16.022135195558203,0.6360036597881004,-0.0036821903807681675,0.027963901236215616,0.6602853706435479,0.6631199419958154,False
1752828747.8357048,121.2975574120699,-15.507970336982558,0.6286843788868787,-0.003681978287764005,0.02706651426819602,0.6520689148673108,0.6553842230058622,False
1752828747.8470597,122.55551117723356,-15.028778732728542,0.6201419599428618,-0.0036817806212272506,0.026230167143981395,0.642690346465616,0.6464985094276898,False
1752828747.8582466,123.98924887464712,-14.587195319224502,0.6100415843200118,-0.00368159846806918,0.025459458695197286,0.6318194445471399,0.6362231640113049,False
1752828747.8696976,125.60426375219349,-14.184917154596079,0.5982070109159393,-0.003681432528326271,0.02475735084703271,0.6192829292346457,0.6243649996676435,False
1752828747.8808444,127.30717059586482,-13.822471128160288,0.5852138098554921,-0.0036812830193403657,0.024124763194825212,0.605657290030977,0.611269602921977,False
1752828747.8920345,129.26276684214542,-13.503366936087211,0.569655646548504,-0.003681151388861136,0.023567821313966054,0.5895423164736089,0.5960605024081194,False
1752828747.903826,131.3117483024338,-13.227270938088429,0.5526430047706797,-0.0036810374992619615,0.02308594289230021,0.572047910163718,0.5792516878370384,False
1752828747.9154046,133.4486217288472,-12.994742820915283,0.5341481288482567,-0.003680941581413628,0.022680104767486754,0.5531472920343298,0.5609786107751423,False
1752828747.9264176,136.0194617380026,-12.812168540112687,0.5109150940463103,-0.0036808662695227965,0.022361452534540156,0.5295956803113276,0.539010559450472,False
1752828747.9376483,138.65622072175177,-12.67910351716479,0.4860184318985134,-0.003680811380200831,0.022129210257571898,0.5044668307758845,0.5148299493782608,False
1752828747.948859,141.30945944914933,-12.594280038325572,0.45992747827611846,-0.00368077639051581,0.021981165358697888,0.47822786724430055,0.4892084918844886,False
1752828747.960171,144.1824280918593,-12.560021716681426,0.430565601981474,-0.003680762258958131,0.02192137330780813,0.448806213030324,0.4609268966865734,False
1752828747.9715054,147.22019417105366,-12.577520700343621,0.39834381640932426,-0.003680769477288892,0.02195191479587393,0.4166149617279093,0.4299085422155085,False
